Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
13214.15,1961076,101569,,610,8,24,187685,46880,0,consideracao,video 15s,meta
13213.49,6448896,12475,,1197,67,52,306869,52635,0,awareness,gif,meta
13196.35,9054723,22096,,30395,529,333,930809,313331,0,awareness,video 15s,meta
13186.4,1517032,1221,,,,,845896,471672,0,awareness,video 15s,youtube
13172.02,2078776,17156,,,,,1171459,652737,0,awareness,video,youtube
13169.31,7489775,3127,,,,137,,,0,awareness,stories,meta
13157.53,9840062,45998,,3583,39,255,,,0,consideracao,display,meta
13147.07,2779252,7523,,,,,427029,63670,0,awareness,video 30s,youtube
13136.79,2228888,4925,,994,62,23,,,0,conversao,display,meta
13101.21,3471213,18645,18,9007,,26,610782,16181,0,awareness,video,tiktok
13099.62,5310302,5976,,860,27,41,246517,92559,0,awareness,video,meta
13099.49,7064395,7649,,1099,64,94,368241,66773,0,awareness,video 10s,meta
13090.23,4338080,18709,1364,8,,9,3690302,15595,1,awareness,video 40s,twitter
13074.14,10197080,4797,,6092,130,37,578761,21607,0,awareness,display,meta
13030.58,6076050,36465,0,10798,,59,1270940,23755,1,awareness,video,tiktok
13029.97,2119917,16058,,34010,157,45,,,0,awareness,estatico,meta
13023,3652747,2349,,,,73,145872,50090,0,awareness,stories,meta
13008.73,10767949,17798,,32211,209,41,,,0,awareness,estatico,meta
